2023-12-19 17:12:948 INFO  ManageBrowser :32 - Chrome Browser Launch .....
2023-12-19 17:12:797 INFO  ManageBrowser :31 - List of product:[[[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']]]
2023-12-19 17:12:809 INFO  ManageBrowser :31 - List of product:[[[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']]]
2023-12-19 17:12:817 INFO  ManageBrowser :31 - List of product:[[[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']]]
2023-12-19 17:12:825 INFO  ManageBrowser :31 - List of product:[[[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']]]
2023-12-19 17:12:835 INFO  ManageBrowser :31 - List of product:[[[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']]]
2023-12-19 17:12:846 INFO  ManageBrowser :36 - sorting High to low[[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> id: input-sort]
2023-12-19 17:12:221 INFO  ManageBrowser :31 - List of product:[[[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']]]
2023-12-19 17:12:229 INFO  ManageBrowser :31 - List of product:[[[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']]]
2023-12-19 17:12:238 INFO  ManageBrowser :31 - List of product:[[[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']]]
2023-12-19 17:12:245 INFO  ManageBrowser :31 - List of product:[[[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']], [[ChromeDriver: chrome on windows (a9e2fdb809b5380f2e8ef8adf253c9e5)] -> xpath: //p[@class ='price']]]
